Item,Scientific Name
Stinking passionfruit,Passiflora foetida
Strawberry tree fruit,Arbutus unedo
Sugar plum,Uapaca kirkiana
Swartbas,Diospyros whyteana
Sweet apple-berry,Billardiera cymosa
Sweet calabash,Passiflora maliformis
Sweet granadilla,Passiflora ligularis
Tamarillo,Solanum betaceum
Texas persimmon,Diospyros texana
Tumbo,Passiflora tripartita
Velvet apple,Diospyros blancoi
Wampee,Clausena lansium
Water lemon,Passiflora laurifolia
White passionfruit,Passiflora subpeltata
Wild orange,Capparis mitchellii
Wild passionfruit,Passiflora membranacea
Winged-stem passionfruit,Passiflora alata
Wolfberry,Lycium barbarum
Wooly abiu,Pouteria torta
Yellow dragon fruit,Selenicereus megalanthus
Yellow granadilla,Passiflora edulis f flavicarpa
African baobab fruit,Adansonia digitata
Australian baobab fruit,Adansonia gregorii
Bael,Aegle marmelos
Bailan melon,Cucumis melo var. inodorus 'Bailan'
Banana melon,Cucumis melo 'Banana'
Banana yucca,Yucca baccata
Canary melon,Cucumis melo var. inodorus 'Canary'
Cassabanana,Sicana odorifera
Citron melon,Citrullus amarus
Crane melon,Cucumis melo 'Crane'
Crenshaw melon,Cucumis melo 'Crenshaw'
Cucumis prophetarum,Cucumis prophetarum
Doub palm fruit,Borassus flabellifer
European cantaloupe,Cucumis melo var. cantalupensis
Fony baobab fruit,Adansonia rubrostipa
Gaya melon,Cucumis melo 'Gaya'
Honeydew melon,Cucumis melo var. inodorus
Hydnora abyssinica,Hydnora abyssinica
Jackal food,Hydnora africana
Jícara,Crescentia cujete
Kajari melon,Cucumis melo 'Kajari'
Kiwano,Cucumis metuliferus
Kiwano rund,Cucumis metuliferus var. rund
Kolkhoznitsa melon,Cucumis melo 'Kolkhoznitsa'
Limelon,Cucumis melo
Mirza melon,Cucumis melo 'Mirza'
Muskmelon,Cucumis melo
Natal orange,Strychnos spinosa
North American cantaloupe,Cucumis melo var. reticulatus
Oriental melon,Cucumis melo Makuwa Group
Santa Claus melon,Cucumis melo var. inodorus 'Sancho'
Sprite melon,Cucumis melo 'Sprite'
Tigger melon,Cucumis melo 'Tigger'
Watermelon,Citrullus lanatus
Wood-apple,Limonia acidissima
African cherry orange,Citropsis articulata
Amanatsu,Citrus × natsudaidai
Bajoura citron,Citrus medica ssp. bajoura
Bergamot orange,Citrus bergamia
Bitter orange,Citrus × aurantium
Blood lime,Citrus australasica var. sanguinea × 'Ellendale'
Blood orange,Citrus × sinensis Blood Group
Buddha's hand,Citrus medica var. sarcodactylis
Calamansi,Citrus × microcarpa
Cam sành,Citrus reticulata × sinensis
Cara Cara navel orange,Citrus × sinensis 'Cara Cara'
Centennial variegated kumquat,Citrus margarita 'Centennial Variegated'
Citron,Citrus medica
Clementine,Citrus × clementina
Desert lime,Citrus glauca
Etrog,Citrus medica var. ethrog
Finger lime,Citrus australasica
Florentine citron,Citrus × limonimedica
Grapefruit,Citrus × aurantium f. aurantium
Haruka,Citrus tamurana × natsudaidai
Hyuganatsu,Citrus tamurana
Ichang papeda,Citrus cavaleriei
Iyokan,Citrus × iyo
Jiangsu kumquat,Citrus obovata
Kabosu,Citrus sphaerocarpa
Kaffir lime,Citrus hystrix
Kanpei,Citrus reticulata 'Kanpei'
Kawachi bankan,Citrus kawachiensis
Key lime,Citrus × aurantiifolia
Kinkoji unshiu,Citrus obovoidea × unshiu
Kinnow,Citrus nobilis × citrus × deliciosa
Kiyomi,Citrus unshiu × sinensis
Kobayashi mikan,Citrus natsudaidai × unshiu
Koji orange,Citrus leiocarpa
Kuchinotsu No.37,Citrus unshiu × sinensis 'Kiyomi' × Citrus nobilis × deliciosa 'Encore'
Kumquat,Citrus japonica
Lemon,Citrus × limon
Lime,Citrus × latifolia
Limeberry,Triphasia trifolia
Limequat,Citrus × floridana
Mandarin orange,Citrus reticulata
Mangshanyegan,Citrus mangshanensis
Melogold,Citrus maxima × Citrus × aurantium f. aurantium
Meyer lemon,Citrus × meyeri
Micrantha,Citrus hystrix var. micrantha
Moro blood orange,Citrus × sinensis Blood Group 'Moro'
Myrtle-leaved orange,Citrus myrtifolia
Ōgonkan,Citrus flaviculpus
Ojai pixie,Citrus reticulata 'Ojai Pixie'
Orange,Citrus × sinensis
Oroblanco,Citrus maxima × Citrus × aurantium f. aurantium
Oval kumquat,Citrus margarita
Pomelo,Citrus maxima
Pompia,Citrus medica var. tuberosa
Ponderosa lemon,Citrus × pyriformis
Rangpur,Citrus × limonia
Round lime,Citrus australis
Sanguinello blood orange,Citrus × sinensis Blood Group 'Sanguinello'
Satsuma mandarin,Citrus unshiu
Shangjuan,Citrus cavaleriei × Citrus maxima
Shonan gold,Citrus flaviculpus × Citrus unshiu 'Imamura'
Sudachi,Citrus sudachi
Sweet limetta,Citrus limetta
Sweet orange,Citrus × aurantium f. aurantium
Taiwan tangerine,Citrus × depressa
Tangelo,Citrus × tangelo
Tangerine,Citrus × tangerina
Tangor,Citrus reticulata × sinensis
Tarocco blood orange,Citrus × sinensis Blood Group 'Tarocco'
Ugli fruit,Citrus reticulata × Citrus × aurantium f. aurantium
Volkamer lemon,Citrus volkameriana
Yuzu,Citrus × junos
African custard-apple,Annona senegalensis
American beautyberry,Callicarpa americana
American red raspberry,Rubus strigosus
Annona aurantiaca,Annona aurantiaca
Annona conica,Annona conica
Annona coriacea,Annona coriacea
Annona cornifolia,Annona cornifolia
Annona jahnii,Annona jahnii
Annona longiflora,Annona longiflora
Annona nutans,Annona nutans
Annona paludosa,Annona paludosa
Annona stenophylla,Annona stenophylla
Annonilla,Annona nitida
Araticum-cagão,Annona cacans
Aratincum do Para,Annona sericea
Arctic raspberry,Rubus arcticus
Armenian blackberry,Rubus armeniacus
Atemoya,Annona squamosa × Annona cherimola
Atherton raspberry,Rubus probus
Atibulnak,Rubus pectinellus
Balloon berry,Rubus illecebrosus
Beach strawberry,Fragaria chiloensis
Beach sugar apple,Annona salzmannii
Biribá,Annona mucosa
Black mulberry,Morus nigra
Black raspberry,Rubus occidentalis
Blackberry,Rubus allegheniensis
Boysenberry,Rubus ursinus × Rubus idaeus
California blackberry,Rubus ursinus
Cawesh,Annona scleroderma
Cherimoya,Annona cherimola
Chinese bramble berry,Rubus tricolor
Cloudberry,Rubus chamaemorus
Creeping raspberry,Rubus hayata-koidzumii
Cudrang,Maclura tricuspidata
Custard apple,Annona reticulata
Cutleaf evergreen blackberry,Rubus laciniatus
Delicious raspberry,Rubus deliciosus
Dewberry,Rubus flagellaris
Dwarf red blackberry,Rubus pubescens
Elephant apple,Dillenia indica
Elmleaf blackberry,Rubus ulmifolius
Emu berry,Grewia retusifolia
European dewberry,Rubus caesius
European red raspberry,Rubus idaeus
Five-leaved bramble berry,Rubus pedatus
Garden dewberry,Rubus aboriginum
Golden Himalayan raspberry,Rubus ellipticus
Gummy Bear fruit,Cecropia peltata
Gympie-gympie fruit,Dendrocnide moroides
Hawaiian raspberry,Rubus hawaiensis
Ilama,Annona diversifolia
Japanese bramble berry,Rubus parvifolius
Korean blackberry,Rubus coreanus
Korean raspberry,Rubus crataegifolius
Kousa dogwood fruit,Cornus kousa
Loganberry,Rubus × loganobaccus
Marolo,Annona crassiflora
Mock strawberry,Potentilla indica
Molucca bramble berry,Rubus moluccanus
Molucca raspberry,Rubus sieboldii
Mora común,Rubus adenotrichos
Mora de Castilla,Rubus glaucus
Mountain raspberry,Rubus fraxinifolius
Mountain soursop,Annona montana
Mysore raspberry,Rubus niveus
Nepalese raspberry,Rubus nepalensis
Pennsylvania blackberry,Rubus pensilvanicus
Pineberry,Fragaria virginiana × chiloensis
Pond apple,Annona glabra
Purple-flowered raspberry,Rubus odoratus
Red mulberry,Morus rubra
Rose hip,Rosa sp.
Roseleaf bramble berry,Rubus rosifolius
Rubus adenophorus,Rubus adenophorus
Rubus biflorus,Rubus biflorus
Rubus corchorifolius,Rubus corchorifolius
Rubus gratus,Rubus gratus
Rubus roseus,Rubus roseus
Rubus xanthocarpus,Rubus xanthocarpus
Salmonberry,Rubus spectabilis
Sawtooth blackberry,Rubus argutus
Smooth blackberry,Rubus canadensis
Snow raspberry,Rubus nivalis
Soncoya,Annona purpurea
Soursop,Annona muricata
Stone bramble berry,Rubus saxatilis
Strawberry,Fragaria × ananassa
Sugar-apple,Annona squamosa
Tasmanian alpine raspberry,Rubus gunnianus
Tātarāmoa,Rubus cissoides
Tayberry,Rubus fruticosus × Rubus idaeus
Thimbleberry,Rubus parviflorus
Susung-kalabaw,Uvaria rufa
White bark raspberry,Rubus leucodermis
White mulberry,Morus alba
White-stemmed bramble,Rubus cockburnianus
Wild cherimoya,Annona hypoglauca
Wild strawberry,Fragaria vesca
Wineberry,Rubus phoenicolasius
